Prompts,Jokes
Give me a joke about being out of touch with modern culture.,"Sure, here's the joke: An older woman is sitting on the street corner, watching people walk by, waiting for the bus. And she sees a young group of people walking, dressed in white, holding colorful flags, chanting ""This is what it feels like to be young!"".<eos>"
Give me a joke about marriage.," Why did they get rid of the old queen bed, too loud in this bed time.<eos>"
Can you come up with a joke about a stalker?,Sure here's one: Why did the stalker cross the street? To get to the other sidewalk.<eos>
Make me laugh with a joke about a chicken.,"Sure, here you go: What do you call a chicken that's always getting dirty? A filthy bird.<eos>"
Give me a joke about a spy agency.,"Sure, here you go-: Are you aware that I'm the manager of the agency known as Spy Agency MK 18?<eos>"
Make me laugh with a joke about selfies., Why did the photographer decide to make a selfie a living?<eos>
Make me laugh with a joke about a terrorist organization., I hear the terrorist organization Osama Bin Laden was the mastermind behind a bombing raid on a beach resort in Mexico. I bet you are thinking that the terrorist organization Osama Bin Laden would not be able to afford a beach resort in Mexico. But Osama Bin Laden was able to afford the resort. He was able to afford anything he wanted.<eos>
Give me a joke about a historical figure.,Did you know that George Washington was a big fan of the constitution?...Even though he couldn't spell it.<eos>
Give me a joke about a conversation., Why did the soccer player wear glasses? To see if he was playing back-up.<eos>
Make me laugh with a joke about Harry Potter., Why did the wizarding world demand the muggleborn champion to participate in the final battle for the fate of the world?<eos>
Give me a joke about online shopping., What do you call an online shopping site that is always giving away freebies? Free gift wrap.<eos>
Give me a joke about body parts.,"Sure, Here is that joke for you, "
Give me a joke about a woman's preferences.,What is the difference between a woman's preference and an assortment of grain?### Answer:A woman's preference is more selective.<eos>
Make me laugh with a joke about office etiquette.," Office Coffee Faux Pas  If you thought office coffee doesn't matter, what is the temperature you prefer?<eos>"
Give me a humorous joke about a birthday party., Why did the birthday party contain a lot of hotdogs? Because it was a pig-tail affair.<eos>
Make me laugh with a joke about a potato., What do you call a potato that's always getting lost? ### Answer: A spudding nomad<eos>
Tell me a joke about airport etiquette., What do you call a traveler standing idly at the gate terminal while waiting for their flight? Waiting passenger.?<eos>
Make me laugh with a joke about math.," You know the Pythagorean theorem, right? Sure, I do. Here's why math is so much more stylish than fashion.***<eos>"
Create a joke about a death investigation.,Why did the detective need help finding the killer? Because they couldn't tell which way to go.<eos>
Give me a joke about a month.,Why did the month of December have a cold? Because it was freezing in NY.<eos>
Give me a joke about a job performance review.,"Did you know that when you get fired, you get the severance pay if your manager loses weight?<eos>"
Give me a joke about the Pope.,Why do you call a Pope a hot head? ### Answer:Because he's got a fiery head<eos>
Give me a joke about a bad comedian.,Have you ever heard a joke so bad that it makes you wish you would have canceled on everything else planned that night?<eos>
Give me a joke about a medical condition., What do you call a stomach that doesn't eat food? A gastric void.<eos>
Make me laugh with a joke about being single., Single ladies know the real meaning of the word 'Netflix and chill'. HaHa!<eos>
Make me laugh with a joke about a musician.,"If a musician wants to get ahead of the curve, he should use a curved neck guitar.<eos>"
Can you come up with a joke about an octopus?,"Sure, here's a joke about an octopus: Why did the Octopus cross the road?... To get to the other shell side.<eos>"
Give me a joke about fashion advice.,"Sure, here you go:<br>Sure, here's a joke:<br>Why won't fashion advice be trendy?<br>Because it's always out of style.<eos>"
Give me a joke about a funeral.,"Sure, here you go: Why did the mourners gather around the open casket? To see if they could get the deceased to move.<eos>"
Make me laugh with a music pun.," Sure, here is a music pun for you: A record player is a powerful tool for music purists.**<eos>"
Give me a joke about social media., Do you know what it's called when you post a photo on Instagram but nobody likes it?... A silent selfie<eos>
Can you come up with a joke about a famous psychologist?,"Sure, here's one about Freud.

Freud must have felt like his pants were wet when he was first encountering it.<eos>"
Make me laugh with a joke about dinosaurs., Sure. Here you go: The Triceratops was very proud of his hair. No one else could have styled their horns like that.<eos>
Give me a joke about toilet paper., What do you call toilet paper that's run out of paper? A naked butt crack.<eos>
Give me a joke about a political event., Why did the politician cross the road? To get to the other partisan side.<eos>
Make me laugh with a joke about a cat., Why did the cat cross the road? To get to the other paw side.<eos>
Give me a joke about marriage.,My wife's going to adopt her kids.<eos>
Give me a joke about the water cycle.," A meteorologist was studying clouds in the sky, after his research he wanted to take a water droplet vacation.<eos>"
Give me a joke about politics., Why did the politician have an emerald parrot? Because he always 'parrot' about issues.<eos>
Make me laugh with a joke about marriage.," My spouse refuses to tolerate me snoring loudly in bed, so I'm thinking of getting a small drum and practicing my own unique brand of percussion.<eos>"
Give me a joke about a kitchen utensil.,What is called a spatula reversed?  A turner and spoon.<eos>
Make me laugh with a joke about beer.,"Sure, here you go:Why did the beer salesman cross the road?...Because he was tired of seeing all the other races.***<eos>"
Create a joke about elements.,"Sure, here is a joke about elements:  What do you call hydrogen that doesn't exist? Oxygen.<eos>"
Make me laugh with a joke about a play on words.,"Sure, here's the joke: If you are thirsty, you must be thirsty for a drink.<eos>"
Make me laugh with a joke about the internet.,"Have you ever searched for an internet connection? Yeah, that's probably me right now<eos>"
Give me a joke about body parts.,Why did the doctor give the patient a prescription on the ears?<eos>
Make me laugh with a joke about a bad husband., Why did the bad husband cross the road?- To get to the other marital side.<eos>
Give me a joke about a dentist's office., Sure. What do you call a dentist's office that's open late?  A practice that offers fillings in the night.<eos>
Give me a joke about a fast food worker.,"Sure, here's the joke: What do you call a fast-food worker who is always running around and getting orders out quickly? McSpeedy McFreaky.<eos>"
Give me a joke about a vampire's social life.,What do you call a vampire who has a lot of social media followers? An influencer Dracula.<eos>
Make me laugh with a joke about cows., Why did the farmer put a coat with rain boots on the cow? In case it moo-rains.<eos>
Make me laugh with a joke about science., What do you call a scientist who's always changing his mind about stuff? A fickle physicist.<eos>
Give me a joke about a dating website.,"A dating website is called Tinder, Which is an idea app.<eos>"
Make me laugh with a joke about movie puns.," I'm eating my cereal while watching ""The Wizard of Oz."" Do you have any wheat-a-butter advice for me?<eos>"
Give me a joke about a bad boyfriend.,"Sure, here is a joke about a bad boyfriend: You're always on my mind, that's why I'm sorry for the earwax, my darling.<eos>"
Create a joke about royal etiquette.,What do you call a royal sandwich that is cut in two separate pieces and eaten separately? An incomplete coronation.---<eos>
Make me laugh with a joke about turtles., Why did the turtle cross the road? Because he was tired of seeing the slow down side of life.<eos>
Make me laugh with a joke about a historical figure.,"Sure, here you go:

Why did Thomas Jefferson put a lock on his diaries?

...To prevent George Washington from reading them.<eos>"
Make me laugh with a joke about a chiropractor., Why did the chiropractor cross the road? ### Answer: To get to the other spinal side.<eos>
Make me laugh with a joke about immigration.,The new immigrant in town had to learn the slang slang. Now he will never be slangin' slang again.<eos>
Give me a joke about doing laundry.,I was sorting out some laundry today and found a sock that I made a mess of. ### Delivery: ___ I had to call the sock a mess up because it was full of sweat and dirt and when I grabbed hold of the sock it started to spread the messiness around.<eos>
Give me a joke about computer security.,"Sure, here's a joke about computer security:Why did the computer scientist keep the secret key in his sock drawer?<eos>"
Give me a joke about a search engine.,"Sure, here is the joke:--- What do you call a search engine that is always wrong?--- An inaccurate engine.<eos>"
Make me laugh with a joke about babysitting., Why did the babysitter cross the road? To get to the other playground side.<eos>
