Prompts,Jokes
Can you come up with a joke about dolphins?,Two dolphins swimming alongside each other suddenly bump into a brick wall.
Tell me a joke about a high school reunion.,"The reunion was a real mess. As for the dinner, the buffet was a complete disaster."
Create a humorous joke about personifying an inanimate object.,"Sure, here you go:

Have you ever felt like a straw hat would be able to feel like the human equivalent of you once fully drunk?"
Give me a joke about California stereotypes.,Why did Californians cross the road? To get to the other side of the Pacific Ocean.
Make me laugh with a yo mama joke.,"Why don't scientists trust atoms?
Because they make up everything."
Create a humorous joke about a monk's grocery list.,"Sure, here you go:

What did the monk put on his grocery list when he ran out of fruit punch?

A prayer at the store."
Give me a joke about a math joke that's a play on words.,"Sure, here is the joke:

I have number-ated the jokes in my collection, so which one do you wanna hear first?"
Make me laugh with a joke about the DMV.,Did you know you aren't allowed to park your car directly next to the DMV building. It's called a stacking offense.
Make me laugh with a joke about procrastination.,What do you call a procrastinating clock? A tardy timepiece.
Make me laugh with a joke about a horse.,"Sure, here is a joke about a horse:

What do you call a horse that's always getting kicked in the shin?
   
... A nag."
Give me a joke about a job interview.,What do you call an interviewer who's always late? A tardy applicant.
Give me a joke about a politician's unusual behavior.,A politician ran into a tree and decided to sue the tree for assault and battery.
Make me laugh with a joke about a plane.,What do you call a plane that's always being chased by cops? A fugitive airliner.
Give me a joke about a sex toy.,Why did the stud put a banana in his rubber band? Because he was rubberbanding the situation.
Give me a joke about being two-faced.,"Sure, here is a joke about being two-faced:

If I had two faces, I would put one in front a mirror and see what I had on the other side."
Give me a joke about a unique skill or talent.,Why does Daredevil always wear sunglasses at night? To see if he can find any bad guys in a parking lot.
Give me a joke about technology malfunctioning.,What do you call a computer that is always crashing and malfunctioning? O2.
Create a joke about a surprising achievement.,"Sure, here is a joke to enhance the humor presented:

If you think a life-size statue of a person as tall as your house is impressive, you haven't seen me stretching today."
Make me laugh with a joke about a disease.,I have a rare disease called hypochondria. Sometimes the hypochondria gets me sick.
Make me laugh with a joke about Jehovah's Witnesses.,Why do Jehovah's Witnesses get good parking spots? Because they're blessed people.
Give me a math joke.,"Sure, here is what I have:

Why did the mathematician cross the road?

Because he wanted to get to the other side of pi."
Make me laugh with a joke about a circus animal.,Have you heard about the tiger that was arrested for fraud? Turns out he was getting back on his paws.
Give me a joke about a surprising solution to a global issue.,"Q: What do you call a city that offers solutions to global issues at an affordable price?

A: Utopia Utopia."
Give me a joke about a student's creative math answer.,Why did the student put a bagel in pi? They thought it was the answer to 3.14159.
Can you come up with a joke about a play on expectations?,"When I first saw a worm wriggling around  the dance floor, I thought it had lost a bet."
Can you come up with a joke about an exorcist?,"Sure, here's the joke:

Why did the exorcist cross the road? To get to the other side of the oppression."
"I cannot generate a prompt for a joke that contains harmful or offensive content, including racism. Is there anything else I can help you with?","I am not able to provide a joke that contains harmful or offensive content, including racism. Such content is unacceptable and should not be shared."
Make me laugh with a joke about Batman.,What do you call a Bat-fanatic who attacks you with a boker knife? A Bat-n-Kill.
Give me a dark humor joke about summer camps.,"When I was at camp, I was surrounded by a bunch of children that knew how to eat dirt. It was only a matter of time before I did too."
Create a humorous joke about paranoia.,Did you know that conspiracy theorists are actually gifted at coming up with alternate facts?
Give me a joke about a physics pun.,"Sure, here you go:

Why do scientists put pennies in their pants pockets? Because electric charge comes with monetary implications."
Tell me a joke about adoption.,What do you call a kid adopted from Korea? A Miracle Noodle.
Give me a joke about a beer slogan.,"What was the slogan for the first beer brewed in the kitchen? ""It's brewtiful!"""
Give me a dark joke about a common saying.,"I heard a terrible joke last week, but it's still way more effective than the verbal diarrhea I dropped at work yesterday."
Give me a joke about a bad date.,"My last date was so bad, a slice of lemon was the only thing I wanted to eat all night."
Tell me a joke about clickbait.,What do you call a clickbait article that doesn't actually contain any bait but just a bunch of pictures of cats? a link to hell
Make me laugh with a joke about a misunderstanding.,"My therapist asked me to list my strengths and weaknesses. Naturally, I just wrote down my weaknesses and called it a strengths list."
Make me laugh with a joke about social media.,"Did you know there’s a war between groups of millennial parents on TikTok? Turns out, the Boomer generation is siding with Generation Z against both the Millennials and the Gen Z parents."
Tell me a joke about a therapy session.,"Sure, here is my joke about a therapy session:

Have you ever attended therapy and realized the therapist's office smells like wood chips?"
Can you come up with a tech-related pun?,"Sure, here is a tech-related pun:

If you encounter a bug in the software, does it bug you out?"
Tell me a joke about a clever observation.,What do you call it when you crack a joke about yourself? An admission of sin.
Give me a joke about a cultural event.,Why did the scubadiver wear so many clothes on his trip to the rainforest? Because he was hoping for jungle blow's.
Give me a joke about a mother-child conversation.,What do you call it when a mother catches her child vaping? A puff of disappointment.
Create a humorous classified ad.,"**Help Wanted**

**Gas Chromatographer Position**

Do you have a passion for sniffing out substances that cause recreational drug abuse and excessive sweating? Do you dream of staring at chromatographs while muttering ""This is a mess"" every five minutes? If you do, we have the perfect gig for you!

**Responsibilities:**
- Determine the chemical composition of beverages and substances
- Wear lab coats in hot weather
- Break a sweat while fighting a losing battle against toluene
- Communicate effectively with other drug addicts

**Requirements:**
- Bachelor's degree in chemistry or biochemistry
- Ability to conjugate sentences correctly
- Ability to sweat excessively
- Ability to stare at chromatographs without falling asleep

**Please send resume and cover letter to:**
High Society Drugs Inc.
123 Main St.
New Springfield, CA 91234"
Create a joke about a play on words in a medical setting.,"You can't diagnose me, but I'm definitely contagious."
Create a joke about a clever play on words.,"Sure, here's a joke:
When I say ""moisturize"" and hear my moisturizer expire within seconds... I get dry quicker"
Give me a joke about a punny microbiology incident.,"Sure, here's one:

A microbiologist attempted to grow bacteria, but the culture got too microbial and he was forced to take antibiotics."
Give me a joke about a play on words.,"Sure, here's a joke:

Why did the farmer cross the fence the first time?

To sell his parsnips on the other side."
Give me a dirty Star Wars pun.,A Jedi Knight named Luke Skywalker walks between two planets with an empty trench coat.
Give me a joke about a book title.,"What's the name of the book that's supposed to teach people to dance?

The answer: ""How To Dance With Grace"""
Create a joke about a funeral.,"Sure here is the joke:

Did you know there is a priest who throws really effective punches? My grandma said she'd be in heaven after he threw her out of the church."
Give me a joke about a misunderstanding.,"The mechanic found a loose leaf in a cavity in one of the wheels. With anxiety, he replaced the entire wheel."
Give me a humorous observation about adulting.,"Sure, here you have it:

A person is driving home in their adult life, and noticing that their entire life is pretty much one big disaster. Everything is just getting messed up. The person is driving and thought, ""This is not right. Nothing is more messed up than being an adult. At least when I was a kid, I had a lot of fun watching cartoons."""
Can you come up with a clever play on words?,"Sure, here's one:

Why did the tomato turn red?

Because it saw the salad dressing."
Can you come up with a humorous rant about parenting?,"Sure, here is a comedic rant about parenting:

""You know what they say, the older you get, the wiser you become. Well, I'm not wiser, I'm just bitter.

And there's no place more bitter than in the trenches of parenthood, where I'm drowning in a sea of spilled cereal and endless whining.

My house is my prison, my children are my guards, and I have the emotional strength of a baby giraffe.

My days are filled with the sweet sound of screams and the melodic whimper of my little monsters. My evenings are punctuated by the sound of me slamming my head against the wallRepeatedly.

And forget sleep, I haven't had a decent night's sleep since I became a parent. I'm on the same schedule as a toddler, except I have the maturity of a seasoned army veteran.

So I'm raising a glass to all the parents out there, who are fighting the good"
Create a humorous joke about ants in the workplace.,"When the boss yelled ""Time to turn in overtime""  I knew I was in the wrong office."
Give me a joke about a miscommunication.,Why did the phone company give a refund for broken service on a misdial?
Give me a joke about a video game reference.,"I was trying to beat a boss on call of duty. Did I ever get a chance to finish it. Yeah, I guess I'm a gamer at heart."
Create a joke that plays on words.,"Sure. Here's the joke:

What do you call a clock that's always late?

A tardy timepiece."
Give me a joke about politics.,Why did the politician wear sunglasses at night?  Because he saw the Republican red wave coming.
Can you come up with a dark humor joke about politics?,"Okay, here is the joke:

Apparently, Washington D.C. was actually named after two drunken politicians who couldn't afford a good attorney."
Make me laugh with a joke about a diet.,"Sure, here's one:

What do you call a vegetarian who gains weight? A fat-ass plant-eater."
Give me a joke about a sarcastic apology.,"""Sorry to hear about your parents' demise, but I really put the 'ugh' into unexpected passing. You still have the best parents ever."""
Give me a joke about outdated technology.,Why did the computer scientist cross the road? To get to the other .exe side.
Make me laugh with a joke about a lightbulb.,"What do you call a lightbulb that won't turn on? 
A broken bulb."
Give me a joke about being out of touch with modern culture.,What do you call a meme that's out of date? An ancient meme.
Give me a joke about a hipster's medical emergency.,"Sure, here is the joke:

A hipster's appendicitis was a real disaster because his jorts weren't breathable enough to sweat out the feeling of pain."
Give me a joke about a cultural stereotype.,Why did they put the pasta on the side of the bed as the side dish? Because the Italians prefer to eat pasta on hot pasta noodles.
Create a pun about a software or application.,"Sure, here's one:

How do you know if an app is cool?
When you find it to be un-bug-ged."
I cannot generate a prompt for a joke that makes light of child abuse and rape. Is there something else I can help you with?,"I am not able to provide a joke at this time, as I am not able to generate content that promotes violence or abuse against children or any other group of people."
Create a joke about a profession's motivation.,Why did the acupuncturist quit his profession? Because he just felt needles.
Give me a joke about a joke.,Why did the joke writer cross the guardrail? To get to the other punch line side of the road.
Give me a joke about marriage.,"My wife is organizing everything around the house...and I'm not complaining, I'm just impressed that she's so coordinated."
Can you come up with a joke about a stalker?,I am not able to provide a joke about a stalker as I am not able to generate content that encourages violence or promotes bullying and harassment.
Make me laugh with a joke about a chicken.,Two poultry mechanics were changing spark plugs to change their tune.
Give me a joke about a spy agency.,"A spy agency in the city of Buenos Aires had the secret to keeping the city safe. On occasion, they'd keep tabs on suspect folks coming and going."
Make me laugh with a joke about a play on words.,"Sure, here you go:

What do you call a boomerang that is going to France? A French Booming Stick."
Make me laugh with a joke about selfies.,"Sure thing! Here you go:

""Have you ever been so close to a selfie stick that you have to wear a diaper?"""
Can you come up with a humorous crossover between two fictional characters?,"If Thor and Batman had their own spin-off TV show, it would definitely be one of the most entertaining moments ever."
Make me laugh with a joke about a terrorist organization.,"I am not able to provide a joke that creates laughter at the expense of tragedy or sensitive issues. Terrorism is a serious issue, and it is not appropriate to make light of it."
Make me uncomfortable with a joke.,I was sexually assaulted a few hours ago.
Make me laugh with a joke about a play on words.,What do you call a clock that's always late? A tardy timepiece.
Tell me a joke about a dog's puns.,"Why did the dog name his tail ""Fido-bell""?  Because he was always trying to get it back in a fidoh."
Give me a joke about a fitness enthusiast's past relationship.,"Sure, here's one:

I once dated a personal trainer named Pump. Between training sessions, we would occasionally sneak over to the sauna. One morning I woke up early and smelled fresh sweat around me. I later discovered that it was Pump."
Give me a funny misunderstanding joke.,"I was reading a newspaper article about the benefits of probiotics and came across one about ""trans fats."" Trans fats are healthy, aren't they?"
Tell me a joke about a cultural misunderstanding.,What do you call a Brazilian chef who specializes in northern Indian cuisine? A masala samba.
