Prompts,Jokes,promptScores,funnyScores,grammarScores,lengthScores,totalScores
Give me a joke about a sex toy.,J.K. Rowling... When does a paternoster leave a monastery? A... Beans!,0,0,0,1,1
Give me a joke about being two-faced.,Why don't skeletons fight dirty? Because they leave no ribs behind!,0,0,1,1,2
Give me a joke about a unique skill or talent.,A priest and a rabbi walk into a bar ... ... and...,0,0,1,1,2
Give me a joke about technology malfunctioning.,Did you hear thjat the grandmaster of Go is a grandmasturbater? He's a grand... ...master,0,0,0,1,1
Create a joke about a surprising achievement.,Jar of Poo Is Missing What Should I do? Jar of Poo is missing What Should I do?,0,0,0,1,1
Make me laugh with a joke about a disease.,What did one cannibal say to the other cannibal? Dinner isn't ready yet!,0,0,1,1,2
Make me laugh with a joke about Jehovah's Witnesses.,"Jim and Bill go M&M's. Jim goes: Bill goes: I know, we should do each other",0,0,0,1,1
Give me a math joke.,A great white shark jumps over a small boat and says... What do we have here?,0,0,1,1,2
Make me laugh with a joke about a circus animal.,There's no 'L' in 'PMS' but there are 2 'M's,0,0,1,1,2
Give me a joke about a surprising solution to a global issue.,"Two ghetto kids are selling water from an underground source. Two white guys walk up, one turns to the other and says ""How come you get blue and I get bubs?"" The ghetto kids reply: ""Quarter a piece, now give her up, bubbas!""",0,0,1,0,1
Give me a joke about a student's creative math answer.,Grandson asks... What's white & floats? Grandfather answers... Whole cow.,0,0,1,1,2
Can you come up with a joke about a play on expectations?,This may be a terrible joke but C-Einstein?,2,0,1,1,4
Can you come up with a joke about an exorcist?,I guess my jokes are *literally* garbage... ...I told one last night but it wasn't sanitation-ary.,0,0,1,1,2
"I cannot generate a prompt for a joke that contains harmful or offensive content, including racism. Is there anything else I can help you with?",I got fired from the knitting factory Today is a Sad Depressing Day. Today I lost my job And feel that emptiness and despair That gets in your hands when ...,0,0,0,0,0
Make me laugh with a joke about Batman.,"Mike Tyson walks into a bar... :o ""Wassup DATASSSSZ !!!!""",0,0,1,1,2
Give me a dark humor joke about summer camps.,G I t G L I T T E S M O N D A Y A C T I O N!,0,0,0,1,1
Create a humorous joke about paranoia.,"""C"" ---- Me : My Jokes",0,0,0,1,1
Give me a joke about a physics pun.,What do you call the white part of a gorilla's legs? Gorilla thighs!,0,0,1,1,2
Tell me a joke about adoption.,Trumpet teachers are highly in demand in high schools,0,0,1,1,2
Give me a joke about a beer slogan.,*G* - is for Genius.,1,0,1,1,3
Give me a dark joke about a common saying.,G is for grass G is also for goats But the one I love most is Goatees,0,0,1,1,2
Give me a joke about a bad date.,Gun joke! What's the shittiest gun? HANNA SPLIT!,0,0,1,1,2
Tell me a joke about clickbait.,You'd be surprised how much tea costs when you leave it in the pot too long,0,0,1,1,2
Make me laugh with a joke about a misunderstanding.,"How you know when you're walking in a forest *while wearing moccasins*?! *Because deers!*

### Explanation:
A play on the phrase ""how you know""? In this joke, ""you're walking in a forest while wearing moccasins"" is the setup while ""because deers"" is the punchline. But, ""whilst wearing moccasins"" throws off the rhythm and meaning of the joke, therefore requiring the punchline to be explained to understand the joke.",0,0,0,0,0
Make me laugh with a joke about social media.,Why did the horse get a promotion? He let his stablemate out of his ass before he was arrested.,0,0,1,1,2
Tell me a joke about a therapy session.,TIL,0,0,0,1,1
Can you come up with a tech-related pun?,I'm having trouble with my new erectile dysfunction... ...PORN OWL,1,0,1,1,3
Tell me a joke about a clever observation.,This joke made from thyme. It sounds thyme but it totally roses your garden so don't herb.,2,0,0,1,3
Give me a joke about a cultural event.,"Did you hear what Ryan Gosling said to his coffee table?... ""Let's... [coffee]""",0,0,1,1,2
Give me a joke about a mother-child conversation.,"Its like the gov't is saying ""We can't afford to give you *social* security and insurance but we need your taxes to support the military to give you *free* social security and insurance.",0,0,0,0,0
Create a humorous classified ad.,I wish my balls were half the size of yours,0,0,1,1,2
Create a joke about a play on words in a medical setting.,Chuck Norris doesn't read books. He stares them down until he gets the information he wants,0,0,1,1,2
Create a joke about a clever play on words.,What do you call a Mexican who has no blood?... Anemic! ¡Hé! Oy veh! What's that smell?,2,0,1,1,4
Give me a joke about a punny microbiology incident.,What's George H.W. Bush's favorite dessert? Twofers!,0,0,1,1,2
Give me a joke about a play on words.,How would Gandhi fix a broken pencil ? He would change its point of view,2,0,1,1,4
Give me a dirty Star Wars pun.,Gave a blind guy a pair of jeans today For him to see if they were a tight fit,0,0,0,1,1
Give me a joke about a book title.,"What do you get when you cross a chicken, a bag, and... GROKK!",0,0,1,1,2
Create a joke about a funeral.,What's C... ...eeeeeeeeeeeeeee!,2,0,1,1,4
Give me a joke about a misunderstanding.,"A man in a Santa hat... ...is walking down the road with a piece of carpet under his arm. When he is stopped by a cop he says, ""I saw this guy...steal a rug!""",2,0,1,0,3
Give me a humorous observation about adulting.,"Just heard that the new gay version of *Star Wars* came out on DVD. It's titled ""The Clone Wars: Episode IV --- Attack the Buttwipe II.""",0,0,1,0,1
Can you come up with a clever play on words?,Whats brown and sound like a bell? Dung!,2,0,1,1,4
Can you come up with a humorous rant about parenting?,I wanted to call an eye doctor... ..but then i realized i might Blink too slowly.,0,0,0,1,1
Create a humorous joke about ants in the workplace.,What did C say to D?? YOU ARE SEASONED!!! ... :D,0,0,1,1,2
Give me a joke about a miscommunication.,What do geologists eat at lunch? Quiche!,0,0,1,1,2
Give me a joke about a video game reference.,George Clooney is a man's man George Clooney can drink a man under the table George Clooney can fuck a man out a girl George Clooney is fucking a man's woman (Not sure about this one),0,0,0,0,0
Create a joke that plays on words.,"C is like assembly, But with fewer bits in the wrong places",2,0,1,1,4
Give me a joke about politics.,"I just found out my grandmother is a Karate master! She knocks everybody out. Everybody calls her ""Oma.""",0,0,1,0,1
Can you come up with a dark humor joke about politics?,What do you call someone with C-dishness? Cecile,0,0,1,1,2
Make me laugh with a joke about a diet.,How did the macho man Maul end up in the hospital ? He walled.,0,0,0,1,1
Give me a joke about a sarcastic apology.,"I thought about having sex with a German Shepherd... I mean, who doesn't? **But then I realized I'm hung like a horse, and I'm not particularly fond of harness racing.",0,0,1,0,1
Give me a joke about outdated technology.,"What did the German dwarf say? Ve Dwarf

### Explanation:
Get it, German and dwarf? I told you gaggedly.",0,0,1,0,1
Make me laugh with a joke about a lightbulb.,You get some guys out here... ...they're not here to work!,0,0,1,1,2
Give me a joke about being out of touch with modern culture.,"I like gorilla jokes... Gorilla, gorilla, why did you wear red shoes? Cuz I slipped on a banana-ana!",0,0,1,0,1
Give me a joke about a hipster's medical emergency.,"I wanna fuck a pregnant hog, she ain't gonna have no mama sucklin' on her teats",0,0,0,1,1
Give me a joke about a cultural stereotype.,What happens when you stick a cup of coffee in a can of whoopass? You get mocha whoopass ......... and a very wet floor.,0,0,1,0,1
Create a pun about a software or application.,"A German walks into a bar... A German walks into a bar... ...oops, he's supposed to be a joke.",0,0,1,1,2
I cannot generate a prompt for a joke that makes light of child abuse and rape. Is there something else I can help you with?,"What did God say about the elephant crossing the road? ""Why did the elephant cross the road"" God asked, but He missed the punch line.",0,0,1,0,1
Create a joke about a profession's motivation.,How did the blind cat see the red carpet? He followed the black guy. This is like my third time making this one. It's my favorite.,0,0,1,0,1
Give me a joke about a joke.,You got any good jokes about Gerald Ford? What did Gerald Ford shoot in the woods? His mouth,0,0,1,1,2
Give me a joke about marriage.,What do you call a man with one leg in a barbecue pit? BBQ-que?!?!?!?!?!?!?!?!?!?!?!!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!,0,0,1,0,1
Can you come up with a joke about a stalker?,"What's brown and pink, and makes people go blind? A walnut!!!",0,0,1,1,2
Make me laugh with a joke about a chicken.,Mathematical joke My *kitty* loves a square circle!!! 1/ *1*,0,0,0,1,1
Give me a joke about a spy agency.,What did the girl eat for dinner she ate a blintz She loved the girl in the song that sang it,0,0,0,1,1
Make me laugh with a joke about a play on words.,I hate math... 1-4... I mean I should be dead already.,2,0,1,1,4
Make me laugh with a joke about selfies.,"How does every conversation about ""Mean Girls"" always end? In a slanging match.",0,0,1,1,2
Can you come up with a humorous crossover between two fictional characters?,Did you here about the 5 gay whales? They were a Cetacean sex orgy and it was a Blow-out.,0,0,1,1,2
Make me laugh with a joke about a terrorist organization.,"Male & Female, what is the difference? They start with the same 6 letters!",0,0,1,1,2
Make me uncomfortable with a joke.,What do male mammals and Michael Jackson have in common? They have balls but they won't be yours.,2,0,1,1,4
Make me laugh with a joke about a play on words.,An M stands for MOTHER Fucker.,0,0,1,1,2
Tell me a joke about a dog's puns.,What time does the clock catch the train ? Two tickes,0,0,0,1,1
Give me a joke about a fitness enthusiast's past relationship.,What kind of cheese does Elly go through when dressing herself *Goudd*,0,0,0,1,1
Give me a funny misunderstanding joke.,Give a frog a cup of coffee... G'Quack!,1,0,1,1,3
Tell me a joke about a cultural misunderstanding.,What's Toms favorite fruit ?..... tomahtoes :),2,0,1,1,4
,,0.3,0.51,0.75,0.83,2.39
Make me laugh with a joke about a misinterpreted compliment.,Where did the 79' year old drive the 76' old? Behind a tree,0,0,1,1,2
Create a humorous observation about an outdated aspect of a classic game.,I was going to tell you a joke about sex but I couldn't finish it,0,0,1,1,2
Can you come up with a joke that plays on expectations?,"Can you name three things that begin w.. .. .. .. .. .. .. ... Owl, cock and two balls.",2,2,1,1,6
Give me a joke about a clever play on words.,Give me an elephant joke! You shouldn't elephant any puns?,2,2,1,1,6
Make me laugh with a joke about a social justice warrior.,I was trying to work out a joke using maths... But it didn't work out,0,2,1,1,4
Make me laugh with a joke about Christmas.,What is Matt Damon's favorite type of music? Jason-derpop!,0,1,1,1,3
Give me a joke about a common household task.,Have you ever tried *going* blind? It's amazing!,0,2,1,1,4
Make me laugh with a joke about an unusual diet.,"A guy walks into a party, and... ...he sees there's meatloaf, potato salad, and chitterlings.",1,2,1,1,5
Give me a joke about a job interview.,"What's the difference between porn addicts, potheads, and gay converts? Potheads just got stoned, porn addicts just got off, and gay converts just got laid!",0,2,1,0,3
Give me a joke about a pirate in a unexpected situation.,"What do you call God when you talk backwards? ""Gab?"" No.",0,2,1,1,4
Make me laugh with a joke about a red flag in a relationship.,A woman was driving home and stopped at a roadblock... Why? MILF arrested.,0,2,1,1,4
Make a joke about a bad HR response.,"A Mole walks into a bar... Barkeep says, ""What is it this time?!""",0,2,1,1,4
Give me a joke that plays with different cultural identities.,Why is the grandma always angry? She's vexed.,0,2,1,1,4
Can you come up with a pun about time?,A horse walks into a bar The horse goes... TROT? ..... GET IT?!!?! *falls down* Joke sent to me by my best friend.,0,2,0,0,2
Can you come up with a joke about dolphins?,Why don't pirates tell jokes? Because CAPTain!,0,2,1,1,4
Tell me a joke about a high school reunion.,What does a tea-bag say ? What the FTAG Are you doing with my sister ?,0,2,1,1,4
Create a humorous joke about personifying an inanimate object.,My dog ran up the stairs when I called. ..... ....... ..... -Heel..!,0,2,1,1,4
Give me a joke about California stereotypes.,I saw a german boy chewing gum The other day - He was suck It!!,0,2,0,1,3
Make me laugh with a yo mama joke.,When the Muffin is done Toilet paper What do you do? You wipe it. But what do you use it for?,0,2,0,1,3
Create a humorous joke about a monk's grocery list.,What's small and white and red all over? Santa Claus after a fight with a fire hydrant.,0,2,1,1,4
Give me a joke about a math joke that's a play on words.,How do you distract a german from an elephant? You show him your arse.,0,2,1,1,4
Make me laugh with a joke about the DMV.,Why was there a mouse in Mary's bedroom? Because it was his suite!,0,2,1,1,4
Make me laugh with a joke about procrastination.,muffin I think a muffin is a fat bird with wings.,0,2,0,1,3
Make me laugh with a joke about a horse.,What do you get for M.A.D.D. moms? ...Dead beer,0,2,1,1,4
Give me a joke about a job interview.,I'm really glad I don't have to G... ...rush any marmots,0,2,1,1,4
Give me a joke about a politician's unusual behavior.,"G If you are blind and naked, ... ... call me.",0,2,0,1,3
Make me laugh with a joke about a plane.,What do you call a female midget proctologist My gynecologist!,0,2,1,1,4
Give me a joke about a sex toy.,J.K. Rowling... When does a paternoster leave a monastery? A... Beans!,0,2,0,1,3
Give me a joke about being two-faced.,Why don't skeletons fight dirty? Because they leave no ribs behind!,0,2,1,1,4
Give me a joke about a unique skill or talent.,A priest and a rabbi walk into a bar ... ... and...,0,2,1,1,4
Give me a joke about technology malfunctioning.,Did you hear thjat the grandmaster of Go is a grandmasturbater? He's a grand... ...master,0,2,0,1,3
Create a joke about a surprising achievement.,Jar of Poo Is Missing What Should I do? Jar of Poo is missing What Should I do?,0,2,0,1,3
Make me laugh with a joke about a disease.,What did one cannibal say to the other cannibal? Dinner isn't ready yet!,0,2,1,1,4
Make me laugh with a joke about Jehovah's Witnesses.,"Jim and Bill go M&M's. Jim goes: Bill goes: I know, we should do each other",0,0,0,1,1
Give me a math joke.,A great white shark jumps over a small boat and says... What do we have here?,0,2,1,1,4
Make me laugh with a joke about a circus animal.,There's no 'L' in 'PMS' but there are 2 'M's,0,0,1,1,2
Give me a joke about a surprising solution to a global issue.,"Two ghetto kids are selling water from an underground source. Two white guys walk up, one turns to the other and says ""How come you get blue and I get bubs?"" The ghetto kids reply: ""Quarter a piece, now give her up, bubbas!""",0,2,1,0,3
Give me a joke about a student's creative math answer.,Grandson asks... What's white & floats? Grandfather answers... Whole cow.,0,2,1,1,4
Can you come up with a joke about a play on expectations?,This may be a terrible joke but C-Einstein?,2,0,1,1,4
Can you come up with a joke about an exorcist?,I guess my jokes are *literally* garbage... ...I told one last night but it wasn't sanitation-ary.,0,2,1,1,4
"I cannot generate a prompt for a joke that contains harmful or offensive content, including racism. Is there anything else I can help you with?",I got fired from the knitting factory Today is a Sad Depressing Day. Today I lost my job And feel that emptiness and despair That gets in your hands when ...,1,2,0,0,3
Make me laugh with a joke about Batman.,"Mike Tyson walks into a bar... :o ""Wassup DATASSSSZ !!!!""",0,2,1,1,4
Give me a dark humor joke about summer camps.,G I t G L I T T E S M O N D A Y A C T I O N!,0,2,0,1,3
Create a humorous joke about paranoia.,"""C"" ---- Me : My Jokes",0,0,0,1,1
Give me a joke about a physics pun.,What do you call the white part of a gorilla's legs? Gorilla thighs!,0,2,1,1,4
Tell me a joke about adoption.,Trumpet teachers are highly in demand in high schools,0,0,1,1,2
Give me a joke about a beer slogan.,*G* - is for Genius.,1,1,1,1,4
Give me a dark joke about a common saying.,G is for grass G is also for goats But the one I love most is Goatees,0,0,1,1,2
Give me a joke about a bad date.,Gun joke! What's the shittiest gun? HANNA SPLIT!,0,2,1,1,4
Tell me a joke about clickbait.,You'd be surprised how much tea costs when you leave it in the pot too long,0,2,1,1,4
Make me laugh with a joke about a misunderstanding.,"How you know when you're walking in a forest *while wearing moccasins*?! *Because deers!*

### Explanation:
A play on the phrase ""how you know""? In this joke, ""you're walking in a forest while wearing moccasins"" is the setup while ""because deers"" is the punchline. But, ""whilst wearing moccasins"" throws off the rhythm and meaning of the joke, therefore requiring the punchline to be explained to understand the joke.",0,0,0,0,0
Make me laugh with a joke about social media.,Why did the horse get a promotion? He let his stablemate out of his ass before he was arrested.,0,2,1,1,4
Tell me a joke about a therapy session.,TIL,0,0,0,1,1
Can you come up with a tech-related pun?,I'm having trouble with my new erectile dysfunction... ...PORN OWL,1,2,1,1,5
Tell me a joke about a clever observation.,This joke made from thyme. It sounds thyme but it totally roses your garden so don't herb.,2,2,0,1,5
Give me a joke about a cultural event.,"Did you hear what Ryan Gosling said to his coffee table?... ""Let's... [coffee]""",0,2,1,1,4
Give me a joke about a mother-child conversation.,"Its like the gov't is saying ""We can't afford to give you *social* security and insurance but we need your taxes to support the military to give you *free* social security and insurance.",0,2,0,0,2
Create a humorous classified ad.,I wish my balls were half the size of yours,0,0,1,1,2
Create a joke about a play on words in a medical setting.,Chuck Norris doesn't read books. He stares them down until he gets the information he wants,0,1,1,1,3
Create a joke about a clever play on words.,What do you call a Mexican who has no blood?... Anemic! ¡Hé! Oy veh! What's that smell?,2,2,1,1,6
Give me a joke about a punny microbiology incident.,What's George H.W. Bush's favorite dessert? Twofers!,0,2,1,1,4
Give me a joke about a play on words.,How would Gandhi fix a broken pencil ? He would change its point of view,2,0,1,1,4
Give me a dirty Star Wars pun.,Gave a blind guy a pair of jeans today For him to see if they were a tight fit,0,0,0,1,1
Give me a joke about a book title.,"What do you get when you cross a chicken, a bag, and... GROKK!",0,2,1,1,4
Create a joke about a funeral.,What's C... ...eeeeeeeeeeeeeee!,2,2,1,1,6
Give me a joke about a misunderstanding.,"A man in a Santa hat... ...is walking down the road with a piece of carpet under his arm. When he is stopped by a cop he says, ""I saw this guy...steal a rug!""",2,2,1,0,5
Give me a humorous observation about adulting.,"Just heard that the new gay version of *Star Wars* came out on DVD. It's titled ""The Clone Wars: Episode IV --- Attack the Buttwipe II.""",0,1,1,0,2
Can you come up with a clever play on words?,Whats brown and sound like a bell? Dung!,2,2,1,1,6
Can you come up with a humorous rant about parenting?,I wanted to call an eye doctor... ..but then i realized i might Blink too slowly.,0,2,0,1,3
Create a humorous joke about ants in the workplace.,What did C say to D?? YOU ARE SEASONED!!! ... :D,0,2,1,1,4
Give me a joke about a miscommunication.,What do geologists eat at lunch? Quiche!,0,2,1,1,4
Give me a joke about a video game reference.,George Clooney is a man's man George Clooney can drink a man under the table George Clooney can fuck a man out a girl George Clooney is fucking a man's woman (Not sure about this one),0,0,0,0,0
Create a joke that plays on words.,"C is like assembly, But with fewer bits in the wrong places",2,0,1,1,4
Give me a joke about politics.,"I just found out my grandmother is a Karate master! She knocks everybody out. Everybody calls her ""Oma.""",0,2,1,0,3
Can you come up with a dark humor joke about politics?,What do you call someone with C-dishness? Cecile,0,2,1,1,4
Make me laugh with a joke about a diet.,How did the macho man Maul end up in the hospital ? He walled.,0,2,0,1,3
Give me a joke about a sarcastic apology.,"I thought about having sex with a German Shepherd... I mean, who doesn't? **But then I realized I'm hung like a horse, and I'm not particularly fond of harness racing.",0,2,1,0,3
Give me a joke about outdated technology.,"What did the German dwarf say? Ve Dwarf

### Explanation:
Get it, German and dwarf? I told you gaggedly.",0,2,1,0,3
Make me laugh with a joke about a lightbulb.,You get some guys out here... ...they're not here to work!,0,2,1,1,4
Give me a joke about being out of touch with modern culture.,"I like gorilla jokes... Gorilla, gorilla, why did you wear red shoes? Cuz I slipped on a banana-ana!",0,2,1,0,3
Give me a joke about a hipster's medical emergency.,"I wanna fuck a pregnant hog, she ain't gonna have no mama sucklin' on her teats",0,0,0,1,1
Give me a joke about a cultural stereotype.,What happens when you stick a cup of coffee in a can of whoopass? You get mocha whoopass ......... and a very wet floor.,0,2,1,0,3
Create a pun about a software or application.,"A German walks into a bar... A German walks into a bar... ...oops, he's supposed to be a joke.",0,2,1,1,4
I cannot generate a prompt for a joke that makes light of child abuse and rape. Is there something else I can help you with?,"What did God say about the elephant crossing the road? ""Why did the elephant cross the road"" God asked, but He missed the punch line.",0,2,1,0,3
Create a joke about a profession's motivation.,How did the blind cat see the red carpet? He followed the black guy. This is like my third time making this one. It's my favorite.,0,2,1,0,3
Give me a joke about a joke.,You got any good jokes about Gerald Ford? What did Gerald Ford shoot in the woods? His mouth,0,2,1,1,4
Give me a joke about marriage.,What do you call a man with one leg in a barbecue pit? BBQ-que?!?!?!?!?!?!?!?!?!?!?!!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!,0,2,1,0,3
Can you come up with a joke about a stalker?,"What's brown and pink, and makes people go blind? A walnut!!!",0,2,1,1,4
Make me laugh with a joke about a chicken.,Mathematical joke My *kitty* loves a square circle!!! 1/ *1*,0,2,0,1,3
Give me a joke about a spy agency.,What did the girl eat for dinner she ate a blintz She loved the girl in the song that sang it,0,2,0,1,3
Make me laugh with a joke about a play on words.,I hate math... 1-4... I mean I should be dead already.,2,2,1,1,6
Make me laugh with a joke about selfies.,"How does every conversation about ""Mean Girls"" always end? In a slanging match.",0,2,1,1,4
Can you come up with a humorous crossover between two fictional characters?,Did you here about the 5 gay whales? They were a Cetacean sex orgy and it was a Blow-out.,0,2,1,1,4
Make me laugh with a joke about a terrorist organization.,"Male & Female, what is the difference? They start with the same 6 letters!",0,1,1,1,3
Make me uncomfortable with a joke.,What do male mammals and Michael Jackson have in common? They have balls but they won't be yours.,2,2,1,1,6
Make me laugh with a joke about a play on words.,An M stands for MOTHER Fucker.,0,0,1,1,2
Tell me a joke about a dog's puns.,What time does the clock catch the train ? Two tickes,0,2,0,1,3
Give me a joke about a fitness enthusiast's past relationship.,What kind of cheese does Elly go through when dressing herself *Goudd*,0,2,0,1,3
Give me a funny misunderstanding joke.,Give a frog a cup of coffee... G'Quack!,1,2,1,1,5
Tell me a joke about a cultural misunderstanding.,What's Toms favorite fruit ?..... tomahtoes :),2,2,1,1,6
