55,"Bill Clinton must be the luckiest man in the world. All of the sex he has, with Hillary, you know it's hate sex.",Tell me a joke about marital relationships., 2/5
56,yeah girl.. shake that thing where poop comes out of. it really turns me on when your poop factory shakes faster than usual,Tell me a joke about an unusual turn-on., 2/5
57,"""I can't stand when people say they hate both of the presidential candidates."" --Stephen Hawking",Tell me a joke about presidential candidates., 4/5
58,A Mexican fireman had twin boys He named them Jose and Hose B,Tell me a joke about naming twins., 5/5
59,"I was drinking at the bar, so I took a bus home. That may not be a big deal to you, but I've never driven a bus before!",Tell me a joke about public transportation., 5/5
60,Donald Trump will ban the sale of shredded cheese He wants to make America grate again,Tell me a joke about a food ban., 4/5
61,"Things have really turned around for me since I re-named my penis and testicles ""JD Power and Associates"".",Create a prompt for a joke about a humorous name change., 4/5
62,My sex face is the same as my first pee in three hours face.,Tell me a joke about revealing unexpected similarities., 4/5
63,My cat just walked by me carrying a toy mouse I don't remember buying her. Women be shoppin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Tell me a joke about unexpected shopping surprises., 4/5
64,Why did the Xbox owner cross the road? To fuck your mom.,Tell me a joke about video game consoles?, 2/5
65,"Sometimes you check the amount of subscribed people. When you do this, there are 4,111,093,0003.666 ""humorists"". 2/3rds of a person? Really?",Tell me a joke about mathematical humorists?, 4/5
66,"I don't believe in Bigfoot; because he never believed in me. I'd scan the crowd at my ballet recitals, and always see that one empty seat.",Tell me a joke about a missing audience member at a performance., 4/5
67,What did the porn actress say when she opened the door? Make sure to come upstairs.,Tell me a joke about an unexpected invitation., 2/5
68,"I don't judge people based on color, race, religion, sexuality, or gender...I base it on whether or not they're an asshole.",Tell me a joke about judging people based on different criteria., 5/5
69,Why were the baker's hands brown? Because he kneaded a poo.,Tell me a joke about a baker's hands., 2/5
70,"Not to get too technical, but chemistry says alcohol IS a solution. So I win.",Tell me a joke about chemistry., 4/5
71,"I often think if I'd taken a different path in life, I could be lying on a slightly more comfortable sofa right now.",Give me a joke about contemplating different life paths., 4/5
72,I'm terrible at telling jokes... I always punch up the fuck lines,Tell me a joke about struggling with humor delivery., 2/5
73,What did the hillbilly say to his sister after she asked him to have sex with her? If you incest.,Tell me a joke about a taboo topic?, 2/5
74,"""You know what, we need a huge spoon to take care of this"" -Guy who invented shovels",Tell me a joke about inventing tools., 4/5
75,How to keep the flies off the bride at an Italian wedding Keep a bucket of shit next to her,Tell me a joke about keeping pests away at a special event., 2/5
76,"What do grandparents smell like? ""Depends""",Tell me a joke about grandparents., 5/5
77,7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert.,Tell me a joke about unexpected causes of hearing loss., 4/5
78,What do people from the 1930's and /r/news jokes have in common? They're both old.,Tell me a joke about old things., 4/5
79,I like my slaves like I like my coffee Fair Trade.,Tell me a joke about unconventional preferences., 2/5
80,ME: I fell off a 50 ft tall ladder once GIRL: holy cow how did you survive ME: I fell off the bottom rung,Tell me a joke about falling off a ladder., 5/5
81,What do you call a blind dinosaur? A do-think-he-saurus :) !! Lol What do you call a blind dinosaurs dog? A do-you-think-he-saurus-rex,Tell me a joke about a blind dinosaur's pet., 4/5
82,I just bought a very tiny amphibian for a pet. It's my-newt!,Tell me a joke about a tiny pet amphibian., 4/5
83,"This may be not be a mainstream opinion, but I don't believe you should cut down a Christmas tree unless you intend on eating it.",Tell me a joke about unconventional opinions?, 4/5
84,"Jenna Jameson to Oprah, ""There's a little bit of Jenna Jameson in everyone."" I'm pretty sure she got that backwards.",Tell me a joke about a mix-up or misunderstanding., 5/5 for the joke fitting the prompt and being quite funny.
85,"Even after 20 years, Jared Fogle is still getting into smaller and smaller jeans.",Tell me a joke about weight loss?, 4/5
